sub_id,session,run,red_idx,green_idx,value
MET000,1,2,9,6,1.6991443840871965
MET000,1,2,9,7,1.5567139840897186
MET000,1,2,9,8,1.5846640819718367
MET000,1,2,9,9,1.5079698633914969
MET000,1,3,0,0,1.3013957456092529
MET000,1,3,0,1,1.2247501547514703
MET000,1,3,0,2,1.2261862762385352
MET000,1,3,0,3,1.3768318516295777
MET000,1,3,0,4,1.4192016978647073
MET000,1,3,0,5,1.5690851141192104
MET000,1,3,0,6,1.3661949922093486
MET000,1,3,0,7,1.2333984127963289
MET000,1,3,0,8,1.3785218802017434
MET000,1,3,0,9,1.5784902495400877
MET000,1,3,1,0,1.2509589495651736
MET000,1,3,1,1,1.491581897940687
MET000,1,3,1,2,1.1425886767203988
MET000,1,3,1,3,1.0947447317193355
MET000,1,3,1,4,1.2746893349253166
MET000,1,3,1,5,1.4320451704826715
MET000,1,3,1,6,1.4261156770175871
MET000,1,3,1,7,1.286747861995392
MET000,1,3,1,8,1.3955826160498788
MET000,1,3,1,9,1.5226500116138055
MET000,1,3,2,0,1.6210733834471069
MET000,1,3,2,1,1.4040177224011343
MET000,1,3,2,2,1.2156383787453051
MET000,1,3,2,3,0.93387433308858725
MET000,1,3,2,4,1.1635706126860432
MET000,1,3,2,5,0.93662496326167177
MET000,1,3,2,6,1.3045307568550442
MET000,1,3,2,7,1.4076975671840142
MET000,1,3,2,8,1.4091945154894421
MET000,1,3,2,9,1.3413281429440909
MET000,1,3,3,0,1.6868336091380076
MET000,1,3,3,1,1.4591945126400858
MET000,1,3,3,2,1.1634860702877492
MET000,1,3,3,3,1.339740840941305
MET000,1,3,3,4,0.99365512695220015
MET000,1,3,3,5,0.72879080299547083
MET000,1,3,3,6,0.9403005806356276
MET000,1,3,3,7,1.1261186332687458
MET000,1,3,3,8,1.1914371697487078
MET000,1,3,3,9,1.268974144442798
MET000,1,3,4,0,1.6754329395426495
MET000,1,3,4,1,1.5229160918638098
MET000,1,3,4,2,1.253534301929047
MET000,1,3,4,3,0.98765223499905963
MET000,1,3,4,4,0.89621054670162958
MET000,1,3,4,5,0.68760349598943704
MET000,1,3,4,6,0.6607739256307763
MET000,1,3,4,7,0.98072366489526197
MET000,1,3,4,8,1.2633659657914178
MET000,1,3,4,9,1.2934701297395179
MET000,1,3,5,0,1.4579122646828708
MET000,1,3,5,1,1.4467583772098829
MET000,1,3,5,2,1.3299448683793571
MET000,1,3,5,3,1.0346055282114153
MET000,1,3,5,4,1.4332337886740452
MET000,1,3,5,5,0.94702270964172819
MET000,1,3,5,6,0.98407609827600195
MET000,1,3,5,7,1.0897865516271332
MET000,1,3,5,8,1.2766877542030961
MET000,1,3,5,9,1.3101522596289208
MET000,1,3,6,0,1.700477785188816
MET000,1,3,6,1,1.5141172924281725
MET000,1,3,6,2,1.5856379235304148
MET000,1,3,6,3,1.3403264392859784
MET000,1,3,6,4,1.4951916538050145
MET000,1,3,6,5,1.0471740959329872
MET000,1,3,6,6,1.1778667948911492
MET000,1,3,6,7,0.79293622111226014
MET000,1,3,6,8,1.0028333112516259
MET000,1,3,6,9,1.135095182961849
MET000,1,3,7,0,1.7153480322822816
MET000,1,3,7,1,1.6933112359552938
MET000,1,3,7,2,1.3942870872753446
MET000,1,3,7,3,1.41608491340916
MET000,1,3,7,4,1.4642526623219434
MET000,1,3,7,5,1.2078870992700841
MET000,1,3,7,6,1.1377841714902337
MET000,1,3,7,7,1.0657723989456791
MET000,1,3,7,8,1.2415826376102139
MET000,1,3,7,9,1.1160719090818381
MET000,1,3,8,0,1.7990409442515547
MET000,1,3,8,1,1.4631505436126664
MET000,1,3,8,2,1.7008745786538719
MET000,1,3,8,3,1.4285966662572998
MET000,1,3,8,4,1.377471314029028
MET000,1,3,8,5,0.76663633228537065
MET000,1,3,8,6,1.2505269398029424
MET000,1,3,8,7,1.0077672987562689
MET000,1,3,8,8,1.1940460932517116
MET000,1,3,8,9,1.0588560177337043
MET000,1,3,9,0,1.699961216155311
MET000,1,3,9,1,1.4621494935014758
MET000,1,3,9,2,1.6086939536379268
MET000,1,3,9,3,1.2729196433741381
MET000,1,3,9,4,0.90295381386537599
MET000,1,3,9,5,1.4261592361495898
MET000,1,3,9,6,1.256911496163138
MET000,1,3,9,7,1.0721376111530032
MET000,1,3,9,8,1.0608663162496956
MET000,1,3,9,9,1.2379245440002806
MET000,1,4,0,0,1.2282502174162602
MET000,1,4,0,1,1.1622494189199244
MET000,1,4,0,2,1.1260543088660773
MET000,1,4,0,3,1.2879363995509716
MET000,1,4,0,4,1.2072075368717361
MET000,1,4,0,5,0.94990594021185959
MET000,1,4,0,6,1.1686166186037727
MET000,1,4,0,7,1.1560894365722243
MET000,1,4,0,8,1.421820301525808
MET000,1,4,0,9,1.409383091245987
MET000,1,4,1,0,0.99984325970913823
MET000,1,4,1,1,1.1099981823616465
MET000,1,4,1,2,1.06487463428187
MET000,1,4,1,3,1.149885284296122
MET000,1,4,1,4,0.80645077431847489
MET000,1,4,1,5,1.0226893005728923
MET000,1,4,1,6,1.2543386527134852
MET000,1,4,1,7,1.2784940017574995
MET000,1,4,1,8,1.3316032232008568
MET000,1,4,1,9,1.1704676017004281
MET000,1,4,2,0,1.0080674423064455
MET000,1,4,2,1,1.0560636701776556
MET000,1,4,2,2,1.2953413770517268
MET000,1,4,2,3,1.0052518938955199
MET000,1,4,2,4,0.92073777972390358
MET000,1,4,2,5,0.91516845463474195
MET000,1,4,2,6,1.0062840328160323
MET000,1,4,2,7,1.2184473990840208
MET000,1,4,2,8,1.1598581606615943
MET000,1,4,2,9,1.4288074353396951
