sub_id,session,group,subgroup,red,green,depth,red_idx,green_idx,fitted_red,fitted_green,fitted_depth,fitted_amp,fitted_sigma_red,fitted_sigma_green,fitted_r_squared,fitted_at_bound,fitted_valid,ramp_intercept,ramp_slope_red,ramp_slope_green,ramp_r_squared,rotated_red,rotated_green,rotated_depth,rotated_amp,rotated_sigma_major,rotated_sigma_minor,rotated_orientation_deg,rotated_r_squared,rotated_at_bound,rotated_valid
MET005,2,CTR,NA,2133.3333333333335,888.8888888888889,0.00633362808198365,6,4,2644.1059374260967,713.1237307324725,0.21227557126562735,0.7077168722557912,1423.019835665296,630.8975580871427,0.6505930061471609,False,True,0.7638542776142022,-9.765976245685065e-05,-8.260283396732543e-05,0.286808516215621,2644.1228779201247,713.1192912968828,0.21227767456305346,0.7077282315787506,1423.0359479382068,630.9068621647334,7.657451511179325e-37,0.6505930064855971,False,True
MET006,1,CTR,NA,2133.3333333333335,666.6666666666666,0.14159355158949238,6,3,1649.6656288166387,760.5551870230839,0.15630199402561706,0.6246655070774878,604.053178272152,476.9916278832502,0.6662249608316453,False,True,0.8968432627272602,-0.00018608827700850576,4.77564951876681e-05,0.40759146621293374,1874.367495538521,860.3778209999555,0.1880324728351228,0.7536338227109978,1533.6850723127206,523.8686430588281,34.518775124918655,0.8876153571992893,False,True
MET006,2,CTR,NA,1777.7777777777778,888.8888888888889,0.16590185970954827,5,4,284.2186162112655,124.28305698323443,1.1052054773471798,3.269778299383438,3199.999999905589,1214.6074401462577,0.6599976799832803,True,False,1.062993824817868,-0.00015053578764196487,-4.852897434868829e-05,0.27703132358989924,1716.2637025322217,808.788679447388,0.22227839788499093,0.8245112463371771,1290.5310455309832,372.17062054627206,24.32356473994998,0.8592640713137413,False,True
MET007,1,CTR,NA,2133.3333333333335,888.8888888888889,0.02980687498527667,6,4,1896.90336155961,844.2857896741219,0.1958982126734305,0.4746909171946427,607.9271479486426,390.55058297243113,0.39077214404122906,False,True,0.7241627363361425,-6.9221802115057e-05,-2.707379843627701e-05,0.11683707284427391,1896.9039257927445,844.2854666798892,0.19589750167194886,0.4746913530847343,607.9261765596049,390.54961330798,2.016459646174329e-37,0.39077214410422034,False,True
MET008,1,CTR,NA,1422.2222222222222,888.8888888888889,0.43559376954341944,4,4,1726.15288777503,980.8208784757036,0.6070867379182847,0.8110640173631021,469.4476970473925,556.1215354873931,0.7818556216209194,False,True,1.5557798427628042,-0.00014681459981057092,-4.857437260938984e-05,0.28132818885548383,1726.4217994044839,978.2410156069867,0.60245962910907,0.8172373130485011,579.7609300850262,450.0993178584779,61.17172537854704,0.7885864752063967,False,True
MET008,2,CTR,NA,1777.7777777777778,666.6666666666666,0.4218825345136224,5,3,1764.074298472107,827.6037294296224,0.5963647294962063,0.77168522296125,446.6406577756987,507.04432354324683,0.7077224057583537,False,True,1.5322930807059407,-0.0001533985851316896,-4.727396677380457e-05,0.30244478385367657,1768.0444704493177,864.0795729500669,0.5888561637767034,0.786420085668994,651.8421778032717,374.1649353198585,47.12624253685514,0.74440796806583,False,True
MET009,1,CTR,NA,2133.3333333333335,1111.111111111111,0.024836275946704404,6,5,3171.2263144735966,4.583491868692468e-15,0.37440287095498515,1.0346068484764006,1865.4575073723393,1440.9154945372868,0.37930825510277844,True,False,0.49602674233596217,-4.555315647074632e-05,-6.639611765368725e-05,0.16866641876119148,2965.8227513001725,205.66559518319383,0.3146279145837789,0.737640269074239,1548.5124100900782,1169.9424005590563,1.5897915355001885e-08,0.3762299824527051,False,True
MET009,2,CTR,NA,1777.7777777777778,888.8888888888889,-0.010003576216350861,5,4,3199.9999999999995,5.094990231145971e-08,0.5289670393059651,1.518256298133544,2156.3410704422313,1837.6385288363413,0.5519606064261655,True,False,0.6598326964907305,-6.855758160090742e-05,-0.0001381588588626253,0.37199294698252794,3199.9999999999995,6.193729295504019e-09,0.5289670108857281,1.5182561134886523,2156.3409322962502,1837.6382456535107,3.939167605023707e-34,0.551960606426076,True,False
MET010,1,CTR,NA,2844.4444444444443,1111.111111111111,0.061160372153485895,8,5,1712.5156784408116,1963.4938657395267,0.3438495495666056,0.38464897454640107,953.5747789903652,1070.5158711995077,0.482597898049982,False,True,0.704722932683271,-9.688036915851145e-05,-3.606068712849784e-05,0.3183726584948219,1718.16924443206,1999.9990333329167,0.37612535475450226,0.908425227625349,2012.4593880522073,913.2614176141593,158.65459800029552,0.5413746756890669,True,False
MET011,1,CTR,NA,2133.3333333333335,888.8888888888889,0.4863845914692251,6,4,2048.466060006867,916.6444030041629,0.5784226398092066,0.6637408019543302,690.7700667208265,331.5888259593185,0.6927474626991748,False,True,1.438475999578207,-0.00011632554379147198,-0.00010710810970894544,0.3058983317082943,2034.791677070595,911.7242691872942,0.5733129726774374,0.6671550892573025,707.0860568158301,316.32357384086055,4.897955028638474,0.6960034462499551,False,True
