sub_id,session,run,trial,value
MET021,2,3,2,0.84068773127306184
MET021,2,3,3,0.85399545361568563
MET021,2,3,4,0.8539769578242199
MET021,2,4,1,0.72314930097421182
MET021,2,4,2,0.77239323807586335
MET021,2,4,3,0.7179837137530608
MET021,2,4,4,1.1344528561573644
MET022,1,1,1,0.57443903937563956
MET022,1,1,2,0.80709164267598876
MET022,1,1,3,0.7736809320220146
MET022,1,1,4,0.84517032558089156
MET022,1,2,1,0.72548814918696247
MET022,1,2,2,0.74923527330932771
MET022,1,2,3,0.85663980674131135
MET022,1,2,4,0.72442183747438882
MET022,1,3,1,0.68721944614064612
MET022,1,3,2,0.70865026998203795
MET022,1,3,3,0.73123014653432072
MET022,1,3,4,0.74479127557409808
MET022,1,4,1,0.74426462156840612
MET022,1,4,2,0.86614909820025798
MET022,1,4,3,0.75630119489425651
MET022,1,4,4,0.664463715116548
MET023,1,1,1,0.70963788696878904
MET023,1,1,2,0.64607951570148003
MET023,1,1,3,0.82779329470364493
MET023,1,1,4,0.71300189437394645
MET023,1,2,1,0.61379836152536926
MET023,1,2,2,0.72113339436016655
MET023,1,2,3,0.84745757066267735
MET023,1,2,4,0.74762677003068645
MET023,1,3,1,0.67583455697023764
MET023,1,3,2,0.74087429487643386
MET023,1,3,3,0.8882731179725829
MET023,1,3,4,0.71288906492105841
MET023,1,4,1,0.70496187589980763
MET023,1,4,2,0.73732082300767254
MET023,1,4,3,0.74671005953983527
MET023,1,4,4,0.86799581345866705
MET023,2,1,1,0.6506661911788294
MET023,2,1,2,0.75750401353675634
MET023,2,1,3,0.78963174591482643
MET023,2,1,4,0.77973765661532612
MET023,2,2,1,0.64654364271070042
MET023,2,2,2,0.85667480375332006
MET023,2,2,3,0.63347658026880693
MET023,2,2,4,0.69998832608303896
MET023,2,3,1,0.63285577906796875
MET023,2,3,2,0.80616858732700547
MET023,2,3,3,0.81343830380421556
MET023,2,3,4,0.87976164342688523
MET023,2,4,1,0.60405091185230775
MET023,2,4,2,0.6721465710821255
MET023,2,4,3,0.6919617482923377
MET023,2,4,4,0.86260209094920171
MET024,1,1,1,0.79141672152691755
MET024,1,1,2,0.62705902559518456
MET024,1,1,3,0.78299319050088612
MET024,1,1,4,0.73867834827301337
MET024,1,2,1,0.63639093373796551
MET024,1,2,2,0.6965363633499112
MET024,1,2,3,0.7278882478323474
MET024,1,2,4,0.61359744003355754
MET024,1,3,1,0.63474377948900551
MET024,1,3,2,0.69813118833091503
MET024,1,3,3,0.68925293274898758
MET024,1,3,4,0.77308502854303618
MET024,1,4,1,0.79141672152691755
MET024,1,4,2,0.62705902559518456
MET024,1,4,3,0.78299319050088612
MET024,1,4,4,0.73867834827301337
MET025,1,1,1,0.998145336415873
MET025,1,1,2,0.98447153992154923
MET025,1,1,3,0.97605665057831004
MET025,1,1,4,0.9106688124771164
MET025,1,2,1,0.80962534327892555
MET025,1,2,2,1.0291570419283964
MET025,1,2,3,0.88234981348763242
MET025,1,2,4,1.0110873524303492
MET025,1,3,1,0.92645881700040722
MET025,1,3,2,0.92273556729762285
MET025,1,3,3,1.015424902179106
MET025,1,3,4,0.94598673654875121
MET025,1,4,1,0.88861496308411303
MET025,1,4,2,0.810228606986646
MET025,1,4,3,0.95382526270469081
MET025,1,4,4,0.84803136443039817
MET025,2,1,1,0.84077399060304281
MET025,2,1,2,0.99176162936853896
MET025,2,1,3,0.85886327080125413
MET025,2,1,4,0.8251606470955879
MET025,2,2,1,0.89765145624288845
MET025,2,2,2,0.80006325686153212
MET025,2,2,3,0.87777581932172533
MET025,2,2,4,1.0067546294410614
MET025,2,3,1,0.95369015628477516
MET025,2,3,2,0.80715512766753372
MET025,2,3,3,1.1649550720738244
MET025,2,3,4,0.97944599065705595
MET025,2,4,1,0.72495733966853482
MET025,2,4,2,0.84111037876741235
MET025,2,4,3,0.86600230393187982
MET025,2,4,4,1.0026006777521568
MET026,1,1,1,0.76041852606307381
MET026,1,1,2,1.0910597954283461
MET026,1,1,3,0.95998105126484445
MET026,1,1,4,0.99500157502891018
MET026,1,2,1,0.91434832856673076
MET026,1,2,2,0.93327957224045377
MET026,1,2,3,0.9592428589076456
MET026,1,2,4,1.0153606444029903
MET026,1,3,1,0.91185151892650562
MET026,1,3,2,0.89212509904674853
MET026,1,3,3,1.1270057861434912
